Title,Tag(s),Template,Image,Post URL
It Depends on These Factors,"Hook, Image, Factors That Impact Growth, Actionable Advice ","Where [you/your company/other owned asset] will be in [time period] depends on:

[Influencing factor 1]

[Influencing factor 2]

[Influencing factor 3]

[Influencing factor 4]

[Actionable advice].",https://framerusercontent.com/images/XzrpYGMcNxDvqHPXOD3DVqKZZw.png,https://www.linkedin.com/posts/jadebonacolta_you-are-just-one-decision-away-from-a-completely-activity-7132355047266349056-bayd?utm_source=share&utm_medium=member_desktop
Y Comes Before Z,"Hook, Image, Effort For Sucess, Reality Check","You can [achieve desirable outcome] [with relatively little time investment/effort and sacrifice].

Here’s the problem: 

Most [target audience/group] [fail to take necessary action].
",https://framerusercontent.com/images/0pB36QeYHYe22qYgTdfLZOSNV8.png,https://www.linkedin.com/posts/alexhormozi_attention-focus-learning-activity-7051954629349117952-jtN4?utm_source=share&utm_medium=member_desktop
The Nonconformist,"Hook, Text, Funny, Nonconformist","Them: [Common advice or belief] 

Me: [Contradictory action or opinion]",https://framerusercontent.com/images/yPwpPJIyKijC6pmGtzVg7ojYtE.png,https://www.linkedin.com/posts/liz-willits_them-dont-use-emojis-on-linkedin-its-activity-6849454184664772608-1ku1?utm_source=share&utm_medium=member_desktop
Humbled and Honoured,"Hook, Text, Funny, Humerous Achievement, ","Humbled to announce [unexpected or humorous achievement].

Shout out to [dramatic or exaggerated list of entities].",https://framerusercontent.com/images/WRLwMkoGW1fRpIwRXfiSZdAPAc.png,https://www.linkedin.com/posts/nealogrady_excited-to-announce-today-we-closed-our-0mm-activity-6684175454687113216-La5g?utm_source=share&utm_medium=member_desktop
My Honest Answer,"Hook, Text, Funny, Humerous Goal, Whimsicle Routine","People often ask me, “[Your Name], how do you [achieve modest or humorous goal]?”

Here’s what I always say:

“I [unexpected and whimsical routine].”",https://framerusercontent.com/images/qaV0KbnkgFWd2UegS5gC2nivU.png,https://www.linkedin.com/posts/benjamin-watkins-copywriter_copywriting-storytelling-linkedinstrategy-activity-6958484348824096768-iGkD?utm_source=share&utm_medium=member_desktop
Bizarre Backstory,"Hook, Text, Funny, Humerous Event, Origin Story","[Specific date]: [humorous or embarrassing event].

[Following date]: [significant life decision/career change/achievement].

Here's my origin story:",https://framerusercontent.com/images/SRG9KR65zTXprivWpQQMAc8QZTA.png,https://www.linkedin.com/posts/mattjbarker1_31st-dec-2021-threw-up-over-my-friends-carpet-activity-7195391051749097472-Qaqk?utm_source=share&utm_medium=member_desktop
Just As You Thought,"Hook, Text, Funny, New Habit, Unexpected Result","What happened when I [initiated new habit or change]?

[Unexpected or mundane result].",https://framerusercontent.com/images/YxdJgAiu07Sl58MLTMhtJI86Y.png,https://www.linkedin.com/posts/itsmarkasher_what-happened-when-i-started-waking-up-at-activity-6628568869231448064-fQyO?utm_source=share&utm_medium=member_desktop
Absurd Comparison,"Hook, Text, Funny, Under Quoted, Absurd Comparison","“[Someone or competitor] can do this [for a lower price/in less time]!”

Yeah, and I can find [absurd comparison] - that doesn’t signify high quality, 
[Name].",https://framerusercontent.com/images/DbsUUCV5T1yzYwXazDZAelzw5JI.png,https://www.linkedin.com/posts/grace-r-hall_thebarissolow-anantcouldntlimbounderit-excludethataudience-activity-7074643750190239744-lV-l?utm_source=share&utm_medium=member_desktop
Ironic Realisation,"Hook, Text, Funny, Ironic Realisation, Humerous Reaction","When you realise most ‘[category advisors]‘ are [description of unspoken privileges]...

You [humorous reaction].",https://framerusercontent.com/images/3E6nRYHHXly1ARBLncponmY0.png,https://www.linkedin.com/posts/katebour_when-you-realize-that-most-of-the-productivity-activity-6972512682373435393-e-4N?utm_source=share&utm_medium=member_desktop
Meaningful Achievement,"Hook, Text, Success, Hitting Milestones, Renewed Effort","I reached [milestone/achievement][short time ago].
When I reached [prior milestone/achievement] I wasn’t bothered.

But it’s different this time. Because [reason related to increased effort or change].",https://framerusercontent.com/images/UQCa9qqPWOnJGN6jsJ9eBRLnG4.png,https://www.linkedin.com/posts/shoaibahmed21_i-hit-40k-followers-yesterday-when-i-hit-activity-7204738892636323840-4DYw?utm_source=share&utm_medium=member_desktop
Proven Strategy,"Hook, Text, Image, Success, Milestone Achieved, Specific Strategy","I [achieved desirable outcome] in just [short time frame].

I also [additional related outcome].

Here’s my X-step strategy:",https://framerusercontent.com/images/W9pVul6Jb4TPz1fxyGM7EVbV7Y.png,https://www.linkedin.com/posts/nikolettjaksa_i-doubled-my-impressions-in-just-1-month-activity-7210174697739587584-pQCU?utm_source=share&utm_medium=member_desktop
Winning Insights,"Hook, Text, Success, Timeline Of Achievements, Lessons Learnt","At [age], I began [specific endeavour].

At [later age], I [achieved significant milestone] [unlocking this significant outcome].

Here are X [insights/lessons/habits] that helped make this happen:
",https://framerusercontent.com/images/4gDNUcRcc7WeD7Wr2iWX98PQU.png,https://www.linkedin.com/posts/timothyarmoo_at-21-i-started-a-company-in-university-activity-7086675959671595008-n7j6?utm_source=share&utm_medium=member_desktop
Surprising Success Story,"Hook, Text, Success, Company Beginnings, Company Growth","On starting [company/project], I had no grand aspirations.

I didn't overthink [specific detail], I just [took specific action]. And today, in [year/month], [company/project] has [achieved impressive milestone].",https://framerusercontent.com/images/kRaH2yafpCs9bSSl4a6mzvvBVw.png,https://www.linkedin.com/posts/gymshark_when-i-started-gymshark-i-never-thought-activity-7188835510419640320-XNRO?utm_source=share&utm_medium=member_desktop
Big News,"Hook, Text, Success, Exciting News, Significant Achievement","HUGE NEWS: [EXCITING ANNOUNCEMENT].

I just [significant achievement], [description of the achievement].",https://framerusercontent.com/images/aTbDHI0tOGie116DNh7uhOlYZg.png,https://www.linkedin.com/posts/codiesanchez_major-news-this-is-the-biggest-investment-activity-7211714934647205888-YkEt?utm_source=share&utm_medium=member_desktop
"Project Reveal
","Hook, Text, Success, Big Share, Project Reveal","Morning [friends/community], I’m thrilled to finally share this.

This is something I’ve worked on for [significant duration].",https://framerusercontent.com/images/9WnX0D9o2L4estZfEoGnwOgo.png,https://www.linkedin.com/posts/ali-abdaal_hey-friends-im-excited-to-finally-be-sharing-activity-7088112570485587968-RvPN?utm_source=share&utm_medium=member_desktop
Repurposed Triumph,"Hook, Text, Image, Success, Company Achievement, Changing Trends","How [well-known entity] [achievement impressive feat] [by way of a surprising means].

Since [Event/trend], [prominent figure/entity] has [undergone notable transformation].",https://framerusercontent.com/images/IchWLSd1LmDwXiv5IUcZEGF2Ngs.png,https://www.linkedin.com/posts/harrydry_marketing-activity-7100138094951026689-jWQz?utm_source=share&utm_medium=member_desktop
Mistake You’re Probably Making,"Hook, Text, Image, Mistake You're Probabaly Making","If you’re a [specific audience], you’re likely making this mistake:

[Common mistake relevant to the audience].",https://framerusercontent.com/images/j4YqN6HR9QK0C2w7U2UdjQxYQ.png,https://www.linkedin.com/posts/timothyarmoo_if-youre-a-first-time-leader-or-manager-activity-7198291565730050048-Nj3l?utm_source=share&utm_medium=member_desktop
Mistakes That Cost Dearly,"Hook, Text, Image, Mistake That cost Dearly","I made X huge mistakes during my first X months/years of [endeavour]. 

(these cost me [specific quantified losses])",https://framerusercontent.com/images/0OVRMQ7K0ieiZkhRawQsiVvXljQ.png,https://www.linkedin.com/posts/shoaibahmed21_i-made-3-big-mistakes-in-year-1-of-business-activity-7210899482840854528-rOnn?utm_source=share&utm_medium=member_desktop
Mistake You Shouldn’t Ignore,"Hook, Text, Mistake You Shouldn't Ignore",Most [specific group] don't talk about [sensitive or uncommon topic].,https://framerusercontent.com/images/TJFthIE50NUdah2jJHU76Iln8w.png,https://www.linkedin.com/posts/anniemaihodge_most-creators-dont-talk-about-how-much-they-activity-7163832202579939328-Nxva?utm_source=share&utm_medium=member_desktop
Mistake You Don’t Want To Hear,"Hook, Text, Image, Mistake You Don't Want to Hear",Here's the no. 1 mistake [specific group] make on/in [platform/context] (this may be hard to hear):,https://framerusercontent.com/images/CAc4VR3CnSPb2dLJ6SClxygOME.png,https://www.linkedin.com/posts/samuel-szuchan_heres-the-biggest-mistake-people-make-on-activity-7064578233710649344-1BNw?utm_source=share&utm_medium=member_desktop
Mistake You’ll Want To Avoid,"Hook, Text, Image, Mistake To Avoid","[Time period ago], I [made a significant life/career move] to [pursue new venture].

Big mistake.

[Give a specific reason why].",https://framerusercontent.com/images/9CqUvaW2hAN2qHg8cIKtBkgTk.png,https://www.linkedin.com/posts/nicolascole_when-i-was-26-i-quit-my-9-to-5-to-go-all-activity-7194675052066340868-aTKV?utm_source=share&utm_medium=member_desktop
Mistakes That Are All Too Common,"Hook, Text, Avoiding Common Mistakes","X common mistakes in [specific activity/industry/field] in [current year]:

(and how you can avoid them):",https://framerusercontent.com/images/vRhQbPuTtVcxte2xOCFYULcS6w0.png,https://www.linkedin.com/posts/dalianaliu_datascience-activity-6937462904287887360-jUGh?utm_source=share&utm_medium=member_desktop
Mistake That Will Backfire,"Hook, Text, Mistake That Will Backfire","Is this common mistake destroying your [specific activity/habit]?
",https://framerusercontent.com/images/wPgyA7uvzuG0WjSTMSTUF4WYf0I.png,https://www.linkedin.com/posts/eshleyner_copywriting-marketing-creativity-activity-6978353316518903808-6pk9?utm_source=share&utm_medium=member_desktop
You're Bad (But It’s Not Your Fault),"Hook, Text, Image, Polarising, Why You're Failing, How To Fix It","Your [skill/trait] is lacking because [external factor] let you down.

Follow these X steps and to [unlock benefit]:",https://framerusercontent.com/images/GXI48sqqgIfXqm8JUeZ8iN3OiyU.png,https://www.linkedin.com/posts/dakotarobertson_your-writing-sucks-because-school-failed-activity-7219717580322680832-i3ft?utm_source=share&utm_medium=member_desktop
"Stop This! Seriously, Who Do You Think You Are?","Hook, Text, Image, Polarising, Never Do This, Who Do You Think You Are","Never start your [action] with [common unnecessary or ineffective practice].

You’re not [individual or entity known for the practice]. Plus, [reason why the practice is unnecessary or ineffective].",https://framerusercontent.com/images/hGeVletryQQAVd5YyX29RSyCVgo.png,https://www.linkedin.com/posts/yuriiveremchuk_never-start-your-cold-email-with-hi-my-activity-7186694904650031104-X5Qt?utm_source=share&utm_medium=member_desktop
You’re Not Fooling Anyone,"Hook, Text, Polarising, Mistake You're Making, Do This Instead","Are you being [provocative term] with your [topic/business asset]?

Just [following the basic/common approach] and hoping you’ll avoid [negative consequence]?",https://framerusercontent.com/images/bLtip6JhNOTtLbtMfxuT7sEzk.png,https://www.linkedin.com/posts/ejcownley_are-you-being-a-basic-bitch-with-your-brand-activity-7069231917803425792-0O-3?utm_source=share&utm_medium=member_desktop
"Listen, You Need This…","Hook, Text, Image, Polarising, Target Audience, Element Missing, ","[Target audience]: You need [critical element].

And not just because [superficial reason].
",https://framerusercontent.com/images/hYcWw1CNPvRGYHRkZJXYLNxfVl0.png,https://www.linkedin.com/posts/taranakasana_founders-you-need-an-audience-and-not-activity-7178360809826172928-YFns?utm_source=share&utm_medium=member_desktop
It’s Becoming More Popular To…,"Hook, Text, Polarising, Growing Trend, Poor Outcome, Misguided Belief","There’s a rising trend in/on [industry/medium/platform] to [conduct trending behaviour], [get a sub-par outcome] then [give/take misguided belief or action].",https://framerusercontent.com/images/k1z6ylHGJ6ytNFQphfSm9X4HA.png,https://www.linkedin.com/posts/markritson_lesdawson-ai-activity-7214040222097899520-bSoe?utm_source=share&utm_medium=member_desktop
That’s Not What’s Stopping You,"Hook, Text, Polarising, Common Behaviour, Limiting beliefs","Most people know exactly [common knowledge or action].
The problem isn’t [common limiting belief].
",https://framerusercontent.com/images/SFDIZnAyL5PrbSEGvagNENzIo.png,https://www.linkedin.com/posts/alexhormozi_alexhormozi-acquisition-sales-activity-7205969717273006081-6k7q?utm_source=share&utm_medium=member_desktop
Stop Doing That! It’s Self-Sabotage,"Hook, Text, Polarising, Stop Doing That, Self Sabotage","Stop [common misguided behaviour], [specific related actions], then [common follow-up action].

It’s [list negative outcomes].",https://framerusercontent.com/images/gOIpvhXfmFLPVgWvG5aXJijJik.png,https://www.linkedin.com/posts/emma-stratton-punchy_messaging-positioning-training-activity-7102652172206542848-4dYz?utm_source=share&utm_medium=member_desktop
Need Good Thing (Without Bad Thing)?,"Hook, Text, Image, Question, Need Desirable Outcome, Here's how","Need to [maintain desirable state OR achieve desirable outcome]?

X ways to [achieve said outcome] (without [obstacle or frustration]):",https://framerusercontent.com/images/2k6RFqdwyiMRquy8Ftf3yM2bqs8.png,https://www.linkedin.com/posts/timothyarmoo_need-your-best-employees-to-stick-around-activity-7234892645808943104-NEb6?utm_source=share&utm_medium=member_desktop
Should We Do This…?,"Hook, Text, Question, Target Audience, Using Technology, Depending Factors","Should [target audience] use [technology/approach] for [specific task]?

Part of it depends on [specific factor]. But this is even more crucial:",https://framerusercontent.com/images/aqZ87BqcAlEk6B3PESR3MlMKqiU.png,https://www.linkedin.com/posts/annhandley_should-we-use-ai-for-writing-a-first-draft-activity-7201643360548175872-KFlW?utm_source=share&utm_medium=member_desktop
Unsure How To X?,"Hook, Text, Question, Unsure About This Task","Don’t know how to [accomplish task]?

I’ve lost count of how many people ask me, “[Your name], how do I [accomplish task]?”",https://framerusercontent.com/images/LLa8pF0x8iWzhSKkb6Nk1RlGcI.png,https://www.linkedin.com/posts/courtneylynnjohnson_socialmedia-digitalpresence-content-activity-6623380181010665472-9kpw?utm_source=share&utm_medium=member_desktop
Is This Common Problem Affecting You Too?,"Hook, Text, Image, Question, Common Problem, Uncovering Problem ","The biggest problem with [profession or group] (is this you?)

The biggest problem is uncovered by [unexpected analysis or action].",https://framerusercontent.com/images/KwlKFnxDjv7KwX0xgrO0MTp2ch4.png,https://www.linkedin.com/posts/john-copy_copywriting-copywritingtips-atomiccopy-activity-7050074745534382080-5gtn?utm_source=share&utm_medium=member_desktop
Target Audience: “[Common Question]?”,"Hook, Text, Common Question, Best Answer","“[Common question target audience has]?”

[Answer question].",https://framerusercontent.com/images/GONTpqs1kcU2SebyGbTUsG2OOg.png,https://www.linkedin.com/posts/ehlimana-kurgas_how-many-hours-per-day-should-i-spend-on-activity-7231253502193266689-nIRt?utm_source=share&utm_medium=member_desktop
Wanna Stir The Pot? Here’s How…,"Hook, Text, Question, Evoking A Reaction, This Sould Work","Want to [evoke reaction/emotion] from [specific group]?

These X [phrases/sentences/ideas] should do it:",https://framerusercontent.com/images/pngaObo4pY6bdo83lFw8as27tU.png,https://www.linkedin.com/posts/liz-willits_want-to-annoy-a-marketer-these-10-sentences-activity-7236751953664315392-9mKQ?utm_source=share&utm_medium=member_desktop
Ever Notice How X Leads To Y?,"Hook, Text, image, Question, Pointless Task","Ever notice how many times you [take specific action]...

and how often it [leads to frustrating outcome]?
",https://framerusercontent.com/images/Fzf6g4MMJ0yrqifjUKjGYcCwVAE.png,https://www.linkedin.com/posts/amewborn_ever-notice-how-many-just-checking-in-emails-activity-7234889770185740288-LWP_?utm_source=share&utm_medium=member_desktop
Hitting The Proverbial Wall,"Hook, Text, Pain Point, Tried And Failed, Specific Solution","I struggled with [problem/challenge] for years.

So I spent [X amount of time/effort] exploring the [specific habits or routines] of [credible sources].",https://framerusercontent.com/images/mHJAvY6uU2nnYdTsdj94kzKy3a8.png,https://www.linkedin.com/posts/dickiebush_i-tried-and-failed-for-years-to-build-a-activity-6926163376842674176-y4Wc?utm_source=share&utm_medium=member_desktop
Sticking With It,"Hook, Text, Video, Pain Point, Struggling With High Value Action, Specific Tool","Struggling to [achieve desired outcome]?

(This [solution/tool/process] saves me [X amount of time/effort] each [time frame].)",https://framerusercontent.com/images/yhyfHXZ8wa5t5d4XAdvouyLbpF8.png,https://www.linkedin.com/posts/audrey-chia_struggling-to-post-consistently-on-linkedin-activity-7240318298800693249-UGvf?utm_source=share&utm_medium=member_desktop
Overcoming Barriers To Success,"Hook, Text, Video, Pain Point, Roadblock, Specific Solution","Hit a ceiling at [milestone]? Learn to [skill/action].

Stuck at [next milestone]? Master [advanced skill/action].
",https://framerusercontent.com/images/OwI4x1r0fjGbnbFMQY82nOjro.png,https://www.linkedin.com/posts/dmartell_hit-a-roadblock-at-300kyear-learn-to-delegate-activity-7231372536737841152-sdGl?utm_source=share&utm_medium=member_desktop
The Real Crusher,"Hook, Text, Image, Pain Point, True Progress Killer","Lack of [important trait] [kills/stops] more [goals/professionals] than lack of [commonly sought resource] ever will.
",https://framerusercontent.com/images/ckQAurRG8Wk3olotgXbRNO12v8.png,https://www.linkedin.com/posts/leilahormozi_lack-of-focus-kills-more-dreams-than-lack-activity-7207420275368296448-2MGS?utm_source=share&utm_medium=member_desktop
"It's Hard, But Needs Must","Hook, Text, Pain Point, Uncomfotable Action, Overriding Value of Action ","Sometimes I struggle with [action/task].

But it’s crucial for [achieving desired outcome or goal].",https://framerusercontent.com/images/TrwP5LAotLa2HPx9cXocANMVJQ.png,https://www.linkedin.com/posts/ethan-golding_sometimes-im-uncomfortable-sharing-on-linkedin-activity-7183350504784039936--fDi?utm_source=share&utm_medium=member_desktop
You Can’t Achieve X Without Y,"Hook, Text, Pain Point, goal Focused, Harsh Truth",Your [work/task] isn’t effective because you don’t know how to make [aspect of your work produce desirable outcome].,https://framerusercontent.com/images/SCfXoG8ujL94JSAQbnMvYavsFgE.png,https://www.linkedin.com/posts/thedankoe_the-greatest-skill-of-the-21st-century-the-activity-7238599490843074561-R94T?utm_source=share&utm_medium=member_desktop
A Harsh Reality,"Hook, Text, Pain Point, Goal Focused, Harsh Reality","[Task/process] can take ages.

People spend [time duration] working on [single task/result]...",https://framerusercontent.com/images/zhWEtHKirY8cDASuf93048SrIo.png,https://www.linkedin.com/posts/diandraescobar_7-tips-to-write-blog-posts-faster-activity-7188872939918819329-PTu-?utm_source=share&utm_medium=member_desktop
Started From The bottom…,"Hook, Text, Pain Point, Starting From 0, Growth Journey","I remember [describe a challenging state]. 

[Time period] ago, I was at [starting point].",https://framerusercontent.com/images/WDovyvrL8aFTxCC1EUklifInEA.png,https://www.linkedin.com/posts/alicjasmin_i-remember-what-it-felt-like-to-be-invisible-activity-7249727674129010690-2Nj9?utm_source=share&utm_medium=member_desktop
A Disrupting Trend,"Hook, Text, Pain Point, Changing Trend, How To Survive",[Big change/trend] is going to disrupt [specific area]. Here’s what [group/profession] are already doing to stay ahead:,https://framerusercontent.com/images/HgYAyY6lJ3rJ7Vln1QsOQZGn0.png,https://www.linkedin.com/posts/kieranjflanagan_ai-is-going-to-saturate-all-digital-marketing-activity-7260290145218654211-rAYq?utm_source=share&utm_medium=member_desktop
Why [Common Approach] Doesn’t Work,"Hook, Text, Pain Point, Why Common Approach Doesn't Work ","[Action/approach/tool] is [state why approach is suboptimal]. When [context/scenario], [expand on why approach fails].

All this leads to [negative consequences].",https://framerusercontent.com/images/G4QcT8WLBCY9Q0FProwwEYF6BRY.png,https://www.linkedin.com/posts/natalie-marcotullio_book-a-demo-or-free-trial-cta-is-too-activity-7032357362485088256-Iyg2?utm_source=share&utm_medium=member_desktop
“A Common Struggle”,"Hook, Text, Pain Point, Common Personal Struggle, Reason For Common Struggle","“[Common struggle expressed as a quote].”

Because [key limiting factor or roadblock].",https://framerusercontent.com/images/jeYhOAvVDq7HD9xUmaEXRPSulg.png,https://www.linkedin.com/posts/taylin-john-simmonds_i-struggle-to-write-consistently-because-activity-7251584958325006337-DeNn?utm_source=share&utm_medium=member_desktop
Ever Felt Like This? Same,"Hook, Text, Pain Point, Shared Negative Perception","Do you ever feel like [task or role] is [negative emotion or perception]?

Like you’re just [putting up with unfavourable state/outcome], while you long for [better outcome]?

I used to feel this way too.",https://framerusercontent.com/images/QnrDPieF3q4RwmsGPBNqhh8xPYs.png,https://www.linkedin.com/posts/alex-m-h-smith_do-you-ever-feel-that-your-work-is-kinda-activity-7271873174378627072-tb-m?utm_source=share&utm_medium=member_desktop
"The What, Why, How","Hook, Text, Pain Point, Reason For Limited Progress, How To Progress ","If you’re [struggling with a specific challenge], read this:

The main reason for that is [state reason].

Here are X [content types] that I use to [unlock benefit]:",https://framerusercontent.com/images/4x8KmjH9dkS14wHSe0lPL9Kmw.png,https://www.linkedin.com/posts/hatice-sultan-ghostwriter_if-your-posts-are-stuck-between-1000-5000-activity-7265325965986185216-Q8FH?utm_source=share&utm_medium=member_desktop
Does This *Scenario* Sound Familiar?,"Hook, Text, Pain Point, Shared Frustration, Reason For Frustration","Tired of [describe repetitive or frustrating task]?

*[describe relatable, frustrating scenario]*

Look, [state key reason why struggle occurs].",https://framerusercontent.com/images/MH7rAu8N3RG6sYgLDyII5VNZ7M.png,https://www.linkedin.com/posts/amewborn_comment-templates-and-lets-make-your-pipeline-activity-7272226915803881473-bOyn?utm_source=share&utm_medium=member_desktop
My Exact Method,"Hook, Text, Desire, How I, Proven Steps, Achieving Goals","X steps to [achieve goal], [make a major life change], and [reach a significant milestone] 
(here’s how I did it):",https://framerusercontent.com/images/f0KSfedyAv1w3IUbhn6JSURIyc.png,https://www.linkedin.com/posts/nicolascole_7-proven-steps-to-build-a-valuable-skill-activity-6916045570029613056-jn4s?utm_source=share&utm_medium=member_desktop
"If It Worked For Them, It Can Work For You","Hook, Text, Image, Desire, High Value Habits, Social Proof","These 3 [habits/routines/hacks] help me [reach desired outcome] routinely:

(and they’ve worked for all my clients)",https://framerusercontent.com/images/IvcNH73h862b5evvpMYQ2kY6D8.png,https://www.linkedin.com/posts/hatice-sultan-ghostwriter_these-3-habits-get-me-100s-of-comments-on-activity-7246481448172482561-XtLL?utm_source=share&utm_medium=member_desktop
My (Desirable) Transformation,"Hook, Text, Desire, Growth Story, Insights","Over the past [timeframe], I’ve gone from [starting point] to a
[desirable goal state].",https://framerusercontent.com/images/mT9tYKT0XRRHh15JRcYRqvlI.png,https://www.linkedin.com/posts/kierandrew123_over-the-past-3-years-ive-gone-from-no-clue-activity-7104055429407629312-Dksy?utm_source=share&utm_medium=member_desktop
I’ve Done The Hard Work So You Don’t Have To,"Hook, Carousel, Desire, Growth Story, Quick Hacks Shared","[Skill growth] took me [monetary cost] and [time investment] to master, I’ll teach you in [short time frame]:",https://framerusercontent.com/images/Yjnv3zTIFqIoHWz8uPp8hrlEM.png,https://www.linkedin.com/posts/rob-hoffman-ceo_how-to-grow-your-linkedin-to-100k-activity-6983766968201797632-Ya8q?utm_source=share&utm_medium=member_desktop
A Unique Way,"Hook, Text, Desire, Growth Hack Shared, Unconventional","Want more [specific results] from [platform/tool/business vehicle]?

(Try using The [unexpected method or technique])",https://framerusercontent.com/images/1GOS0QFT4VEd9Lr84GaiPpGhFeo.png,https://www.linkedin.com/posts/tasleemahmadfateh_want-more-clients-from-linkedin-try-using-activity-7196034050602459137-_IRT?utm_source=share&utm_medium=member_desktop
A Realistic Timeframe,"Hook, Carousel, Desire, Winning Process Shared, Short Timeframe","My [industry-specific process] to [maximize or reach desired outcome]

(in [specific time frame] or less)",https://framerusercontent.com/images/zZuewVWMnsf29itCUG2OL0EBYoc.png,https://www.linkedin.com/posts/tasbober_how-i-structure-b2b-saas-homepages-to-maximize-activity-7112405517997678592-njYk?utm_source=share&utm_medium=member_desktop
Accessible Alternatives,"Hook, Text, Image, Desire, High Value Sidehustles, Manageable Timeframe","4 [tips/paths/business models] to [unlock desirable outcome]:  

(that don’t involve [unappealing requirement or major commitment])
",https://framerusercontent.com/images/Z08UVAXI0PiIYeSCjNDfdPjPhE.png,https://www.linkedin.com/posts/justinwelsh_4-side-hustles-to-make-extra-income-activity-7245761377896656896-nG0s?utm_source=share&utm_medium=member_desktop
I Was Lost Until I Found…,"Hook, Text, Image, Fear Based, Previous Inadequacy, Key Realisation, Winning Model","I spent years [struggling with X / doing Y ineffectively]. 

Then I discovered [key individual’s strategy/resource/insight] that transformed my 
entire [specific process].",https://framerusercontent.com/images/R95ebWw8SwqwpUrXGaqyghJPMg.png,https://www.linkedin.com/posts/dickiebush_i-wasted-years-as-a-horrible-writer-then-activity-7247583881392975872-cFIc?utm_source=share&utm_medium=member_desktop
"I Used To Do X, But Now I Do Y","Hook, Text, Fear Based, Previous Action, Improved Action","I used to [do X in an old-fashioned way / rely on Y]. 

But now I [take a different approach], and it’s been a game changer.",https://framerusercontent.com/images/XXQKwW5GrKEMcgZafP44Bzj9LGI.png,https://www.linkedin.com/posts/jesscook-contentmarketing_i-used-to-write-all-my-content-in-copy-docs-activity-6958405451721973760-Z8KE?utm_source=share&utm_medium=member_desktop
Times Are Changing,"Hook, Text, Image, Fear Based, X No Longer Works, What Really Matters","[Common trend/pattern] is fading fast. 

Guess what? 

It’s fading in [related areas] as well.",https://framerusercontent.com/images/z7i4jdVUwT6Ig9py1VBGZeYa72Y.png,https://www.linkedin.com/posts/lukematthws_organic-reach-is-dying-on-linkedin-guess-activity-7110939592345686016-1Rxd?utm_source=share&utm_medium=member_desktop
Rock Bottom,"Hook, Text, Fear Based, Lacking Sucess, Not Making Progress, Specific Solution","No [desirable item/outcome].
No [desirable item/outcome].
No [desirable item/outcome].
No [desirable item/outcome].",https://framerusercontent.com/images/ermn5u00y0TNgD2gFFhvl6kpZA4.png,https://www.linkedin.com/posts/alexhormozi_no-money-no-reputation-no-status-no-activity-7253442282882781184-0_Jj?utm_source=share&utm_medium=member_desktop
Here’s The Real Reason For Your Struggles,"Hook, Text, Image, Fear Based, Lacking Sucess, Not Making Progress, Specific Reason","If you're [facing difficulty], it's [reason for difficulty]. 

[Specific factors] might play a role, but ultimately, [expand on why reason for difficulty persists].",https://framerusercontent.com/images/6i46YjT21yofqVANjuC0mCTmSM.png,https://www.linkedin.com/posts/kristamollion_goals-goalsetting-dreams-activity-7111286328360587264-8bDW?utm_source=share&utm_medium=member_desktop
Most People Get This Wrong,"Hook, Text, Image, Fear Based, Lacking Sucess, Not Making Progress, Specific Reason","Most people don’t understand [key concept/strategy]. 

They completely miss the mark on [key principle]. 

You’re [overdoing one aspect] and [neglecting another aspect].",https://framerusercontent.com/images/4D7SH7KOs2AhaZpSUQpaYYloctU.png,https://www.linkedin.com/posts/beatricevladut_99-of-people-dont-understand-brand-the-activity-7244307096177926145-zcI1?utm_source=share&utm_medium=member_desktop
It No Longer Works,"Hook, Text, Image, Fear Based, Previous Key To Sucess, New Key To Sucess","[What was once a key to success] no longer holds the same weight. 

[Key reason why]. And [previous strategy/skill] is being overtaken by [a new development/technology].",https://framerusercontent.com/images/v3OBuBjgZWNtARGqi2O3S8oWMeo.png,https://www.linkedin.com/posts/timcdenning_degrees-used-to-help-you-get-a-good-job-activity-7253484841915035648-Lrt4?utm_source=share&utm_medium=member_desktop
A Rude Awakening,"Hook, Text, Shocking, Business Quote, Humiliating Response, Business Story","I once [took a standard action] for a [service/solution].[Briefly describe unexpected reaction or result]. I felt [emotional reaction].

Here’s how it played out.",https://framerusercontent.com/images/cgT9x9V9bZfCpYyBU08yj7Q3Q.png,https://www.linkedin.com/posts/alicjasmin_storytime-personalgrowth-growth-activity-6960835601973592064-Auu8?utm_source=share&utm_medium=member_desktop
An Unconventional Practice,"Hook, Text, Shocking, Unusual Business Practice, Impact of Unconventional Business Approach","The [role/title] of [well-known person/company] used to [surprising or unconventional practice].

Highly unusual but [explain the purpose or effect of the practice].",https://framerusercontent.com/images/0F1H0gPYfgJs6cO0tCxil9QZX0.png,https://www.linkedin.com/posts/renoperry_jobsearch-jobinterviews-careers-activity-7034887094082703360-UlmI?utm_source=share&utm_medium=member_desktop
"Shocking? Yes, But Effective","Hook, Text, Shocking, Unconventional Business Approach, Effective Outcome","My [colleague/peer/company] [took surprising action that led to specific outcome].

[Share where it started - give brief details on any significant events that led up to your surprising experience].",https://framerusercontent.com/images/03MtMvE3D6OTgh5VvE14leBmR4.png,https://www.linkedin.com/posts/saradalsfelt_my-boss-stalked-me-into-my-current-job-activity-7242422260538433537-3vA6?utm_source=share&utm_medium=member_desktop
