Title,Tag(s),Template,Image,Post URL
"Share your wins, then tease future value…","Post, Text, Impressive Achievement, Timeline, Actionable Lessons","We/I [achieved something significant].

Here are the details:

[Give relevant details – e.g. dates, numbers, names, significant events]

This [project/achievement] was [the result of a unique factor]. 

Marketing consisted of [strategy]. 

And it involved [team description/anecdote].

[Provide a key takeaway/lesson]

We/I can’t wait to share more lessons with you soon.

[Express some words of gratitude for team/audience].",https://framerusercontent.com/images/HPJhTzu7HKhJzhWuEP8shu4dkM.png,https://www.linkedin.com/posts/jkmolina_we-sold-our-startup-for-7-figures-details-activity-7020736424857493504-N75i?utm_source=share&utm_medium=member_desktop
"How to give an honest, unbiased review","Post, Text, Image, AI Tool, Challenging Objection, Tool Features, Tool Benefits, Creators POV","[Time/date], [notable event].

[Short time/date later], [impressive outcome].

This [tool/technique] helped me [achieve result] in [short time frame].

Here’s how I did it:

[Step 1]

[Step 2]

[Step 3]

And here’s the result:

[Impressive outcome + details of any relevant features/benefits]

These [outputs] reached [impressive metrics].

[Thought-provoking question that aligns with common objection]?

[Explain the broader implications]

[Share your opinions]

[Personal sign-off/call to action]

[Image that adds interest to the post]",https://framerusercontent.com/images/WYxwFzItZfkxURkx4T1MARBroY.png,https://www.linkedin.com/posts/ruben-hassid_600-pm-lex-fridman-hosts-sam-altman-6-activity-7186675169900318720-0emZ?utm_source=share&utm_medium=member_desktop
Ever get stuck writing content? Try this…,"Post, Text, Common Problem, Specific Solution, ","X reasons [people/audience] don’t [take desired action].

[Reason/problem 1]

[Reason/problem 2]

[Reason/problem 3]

Here’s the solution:

[Step 1]

[Step 2]

[Step 3]

[Step 4]

[Summarise the benefits this solution unlocks]

[Personal sign-off/call to action]

PS. [Personal insight or future content tease]
",https://framerusercontent.com/images/QFKqdUvDu4XJNKfXIW0YiqeCjM.png,https://www.linkedin.com/posts/roxanairimia_3-reasons-people-dont-follow-you-on-linkedin-activity-7086975656755896320-mCxH?utm_source=share&utm_medium=member_desktop
"What’s the goal of your post?
","Post, Text, Challenging Common Practice, Alternative Action, Impressive Results","Don’t [common practice/action].

[Do these alternative action(s) instead].

[Give an underlying reason for doing so].

[Key benefit the alternative action unlocks].

[Take action on related strategy] to [reach desirable outcome].

We/I have [specific success metric] in [timeframe] without [undesired methods].

And [related strategy] is what made it possible.",https://framerusercontent.com/images/oLF6Au7uAUwegbZ5YqEVjMNorY.png,https://www.linkedin.com/posts/adrian-kuleszo_dont-post-your-designs-only-show-your-activity-7201621529590124545-maon?utm_source=share&utm_medium=member_desktop
How to write a post that sells,"Post, Text, Client Results, Client's Challenges, Specific Solution, Impressive Results, Call To Action","How my client [achieved desirable outcome] in [timeframe] 

(with [specific method])

[Briefly explain client’s starting point]

But they [encountered problem]

They said: 

“[Direct quote from client expressing their struggle]”

I suggested they [solution offered].

Reason why/benefit

Reason why/benefit

Reason why/benefit

Here’s what we/they did next:

Strategic step 1

Strategic step 2

Strategic step 3

The result?

[Mention key positive results/outcomes].

[Give inspiring takeaway].

PS. If you’re interested in achieving the same in [timeframe], [relevant call to action]
",https://framerusercontent.com/images/hblhnfGvIB8spjzkAyrI2JPVwVY.png,https://www.linkedin.com/posts/jonbrosio_how-my-client-made-2000-in-one-weekend-activity-7206271670255300608-m5RD?utm_source=share&utm_medium=member_desktop
How do you get the reader to remember you?,"Post, Text, Questioning Common Practice, Why it Works, Practical Tips,  ","Why do [target audience] [perform action] on/in [platform/tool/scenario]?

You may have seen:

Example of related behaviour

Example of related behaviour

Example of related behaviour

Why do this?

[Briefly explain the reasoning].

Next time you [encounter relevant scenario], ask yourself:

[Question that prompts observation from reader]?

[Fact to reinforce key point]

Here are X tips to [unlock key benefit]:

Actionable tip/advice

Actionable tip/advice

Actionable tip/advice

[Question to foster engagement]?",https://framerusercontent.com/images/ie9s8WmhjtsM6HKEBly5k7zizc.png,https://www.linkedin.com/posts/courtneylynnjohnson_socialmedia-digitalpresence-linkedin-activity-6672972442236977152-Tvrl?utm_source=share&utm_medium=member_desktop
"“The best LinkedIn copywriting lesson you’ll get today” – Thanks, Steve","Post, Text, Image, Best Lesson, Useful Advice, ","The best [topic] lesson you’ll see today.

[Lesson/directive/concept].

X ways to do this:

Approach A

Approach B

Approach C

[Takeaway to reinforce lesson’s importance].

[Call to action/personal sign-off].

[Provide example of lesson in action – either include in text post or as an image]",https://framerusercontent.com/images/gyy1234DEc1qzFOf7vmNO1whM4.png,https://www.linkedin.com/posts/activity-7160519995309846529-61OH?utm_source=share&utm_medium=member_desktop
Don’t just edit for readability!,"Post, Text, Image, How To Get More Visability, Actionable Tips, ","How to [achieve desirable outcome] - X [laws/tips/steps]:

(if you [struggle with specific challenge], read on)

Law/Tip/Step A

Give more practical advice/context as a short list…

Law/Tip/Step B

Give more practical advice/context as a short list…

Law/Tip/Step C

Give more practical advice/context as a short list…

[Clarify the ultimate goal of following strategy above].

[Summarise key takeaway]. 

Do this for [timeframe] and [unlock specific benefit].

[Question to foster engagement]?

[Image that matches the post]",https://framerusercontent.com/images/34d3noGKcMo0CMfQOZBC7to7I.png,https://www.linkedin.com/posts/hatice-sultan-ghostwriter_how-to-get-noticed-by-the-right-people-on-activity-7198646263636979712-etRT?utm_source=share&utm_medium=member_desktop
How to harness “The Bandwagon Effect”,"Post, Text, Major Achievement, Hitting Milestones, Collaboration, Lessons Learned","Huge news/day for [Your Project/Company/Event].

[Mention or list milestones or achievements].

[Mention or list collaborators].

Here are X lessons from [description of the journey or process]:

[Insight 1] - [Briefly explain insight, its impact, and its practical application].

[Insight 2] - [Briefly explain insight, its impact, and its practical application].

[Insight 3] - [Briefly explain insight, its impact, and its practical application].

[Insight 4] - [Briefly explain insight, its impact, and its practical application].

[Insight 5] - [Briefly explain insight, its impact, and its practical application].

[Share a key takeaway and/or call to action].",https://framerusercontent.com/images/qXujH7RZTpEOYRP7roSMiFwlhc.png,https://www.linkedin.com/posts/kippbodnar_big-day-for-our-show-marketing-against-the-activity-7163997141965750273-wJyt?utm_source=share&utm_medium=member_desktop
A good twist keeps ‘em reading,"Post, Text, Image, Entrepreneurship Realities, Practical Tip","Some truths about [your field or role].

[Brief personal anecdote and/or list of relatable challenges].

But this isn’t a bad thing.

Because on [this occasion], I also [engaged in positive action or experience].

Which means, I [tie back to personal anecdote/challenges].

[End story with a positive outcome, action, or insight]

[Briefly expand on how you think about facing such challenges]

[Share an inspiring takeaway]

Here’s a tip: [Practical tip]

[Include relevant image/image hook]",https://framerusercontent.com/images/LnfbkhbxG3kWIpI4O5A3wxr8jw.png,https://www.linkedin.com/posts/joe-gannon_the-realities-of-entrepreneurship-i-started-activity-7207343529017126912-uP70?utm_source=share&utm_medium=member_desktop
What does your hook imply?,"Post, Text, Image, LinkedIn Journey, Chellenging Status Quo, Practical Advice","I’ve [engaged in action/role/platform/context] for [timeframe].

In which time, I’ve:

[Achievement 1]

[Achievement 2]

[Achievement 3]

Here’s what I didn’t do:

[Common tactic 1]

[Common tactic 2]

[Common tactic 3]

Instead, I did this:

[Effective strategy 1]

[Effective strategy 2]

[Effective strategy 3]

[Effective strategy 4]

[Effective strategy 5]

So don’t just [follow the common advice].

[Briefly summarise your overall effective strategy from above]

PS. [Relevant thought-provoking question for audience]?

[Include relevant image/image hook]",https://framerusercontent.com/images/wX6QcN5Evat6SDb8prSaAJLWo.png,https://www.linkedin.com/posts/taranakasana_ive-been-on-linkedin-for-8-months-now-activity-7195397613733507072-r7YO?utm_source=share&utm_medium=member_desktop
Here’s another attention-getting tool…,"Post, Text, Suprising Facts, Vulnerable Admission, Key Takeaway","[Surprising Fact or Misconception 1]

[Surprising Fact or Misconception 2]

[Surprising Fact or Misconception 3]

I [experienced relevant setback] before I [achieved relevant success].

[Motivational insight and/or practical takeaway]",https://framerusercontent.com/images/Upp4apk1hpvRI41h7Mr3vQCSfE.png,https://www.linkedin.com/posts/noahkagan_youtube-started-as-a-dating-site-twitter-activity-7209883954957479938-7eOn?utm_source=share&utm_medium=member_desktop
The dark side of LinkedIn,"Post, Text, Image, Deception On LinkedIn, Unique Path To Success","[Hint at deceptive behaviour on platform/industry/context].

Don’t get me wrong, I enjoy [platform/industry/context].

But there is a dark side.

For example, sometimes I see:

[Negative/deceptive behaviour 1]

[Negative/deceptive behaviour 2]

[Negative/deceptive behaviour 3]

So if you [engage on platform/industry/context], and you’re [negatively impacted]...

Remember, [positive/inspiring takeaway].

[Include relevant image/image hook]

",https://framerusercontent.com/images/oJjoh4NjEYlFPAiUIzfGKSY.png,https://www.linkedin.com/posts/jane-kisnica-graphic-designer_there-is-a-lot-of-smoke-and-mirrors-happening-activity-7142124766173302784-Tc6J?utm_source=share&utm_medium=member_desktop
What to say when your reader’s heard it all before…,"Post, Text, Image, Shortcut To Success, Challenging Assumptions, Unique Strategy, Building Authority, Specific Strategy, Real-World Example","I [started endeavour] in [time period]. 

(Steal my method for [achieving desirable outcome])

It's not just about [common assumption]. 

It's about using “[unique strategy name]” to [achieve goal].

After [doing a significant amount of research/analysis], here’s how [eminent figures/companies get desirable results]:

- [Mission/Aim 1]
- [Mission/Aim 2]
- [Mission/Aim 3]

[Briefly reinforce/explain points from above].

[Statement that transitions to actionable advice]:

- [Strategy/Tactic 1]
- [Strategy/Tactic 2]
- [Strategy/Tactic 3]

For example:

[Give example(s) – if appropriate]

[Additional insight/tip]

[Key takeaway]

PS. [Call to action or question for audience]

[Image that matches the post]

",https://framerusercontent.com/images/HsQcw5wAEp9bfFB2fAlCUFrS8c.png,https://www.linkedin.com/posts/laraacostar_i-wrote-my-first-linkedin-post-may-2022-activity-7213866455669338112-WLLZ?utm_source=share&utm_medium=member_desktop
Every post is a seed,"Post, Text, Image, Building Trust and Credibility, Content As An Asset, Mental Reframe","Your [topic/idea/owned asset] is a [valuable asset] you can [exploit/benefit from].

Over the last [short time period], I’ve been [doing a lot of key action].

[Specific task relevant to key action]

[Specific task relevant to key action]

[Specific task relevant to key action]

It’s all I do every [time of day/week].

My [topic/idea/owned asset] has been a lifesaver.

And the best thing about [doing key action] is that it:

[Unlocks short-term benefit]

[Unlocks short-term benefit]

[Unlocks short-term benefit]

[Bold statement that reinforces the positive impact of doing key action].

Plus if you [take this additional key action] you can:

[Unlock this longer-term benefit]

[Unlock this longer-term benefit]

[Unlock this longer-term benefit]

So remember to [summarise your perspective/reiterate key message].

PS. [Call to action or question for audience]

[Relatable text image to act as a ‘billboard’ for your post]

",https://framerusercontent.com/images/Vab0tirQ0xxyd6d89oZxyocKLL0.png,https://www.linkedin.com/posts/nejc-jamscek-618765b9_your-content-is-an-asset-you-can-milk-for-activity-7213865242890539008-t68w?utm_source=share&utm_medium=member_desktop
Catching your reader off-guard,"Post, Text, Image, Benefits of X To Achieve Goal, Specific Lessons, Humerous Signoff","My secret for [achieving goal]?

[Unconventional solution].

[Anticipate the reader’s scepticism or confusion].

But hear me out.

I [describe what you did initially – first steps].

[Key reason(s) for decision].

[Describe what happened next].

The results have been amazing!

[Impressive result/benefit gained]

[Impressive result/benefit gained]

[Impressive result/benefit gained]

[Summarise key benefit].

[Give a brief anecdote that relates to your experience engaging with the solution/authority].

When I [did relevant activity], I [experienced/gained]:

[Desirable outcome/positive feedback].

[Desirable outcome/positive feedback].

[Desirable outcome/positive feedback].

Here’s the lesson:

[Key takeaway(s)].

PS. [Personal sign-off or call to action]

[Image that matches the post]",https://framerusercontent.com/images/JSfTbPRd27klciipdMGJ68GcmRk.png,https://www.linkedin.com/posts/morganjingramamp_my-secret-weapon-for-becoming-a-better-speaker-activity-7208571769631191040-vONG?utm_source=share&utm_medium=member_desktop
Why “going viral” shouldn’t be the goal,"Post, Text, Don't Do This, Do This Instead, Actionable Steps","[Target audience]: you don’t want your [asset/output] to “[common misconception].”

Instead, you want it to [vivid metaphor that describes what asset/output should be like].

In other words:

[Specific characteristic that describes what asset/output should be like]

[Specific characteristic that describes what asset/output should be like]

[Specific characteristic that describes what asset/output should be like]

Or you risk [negative consequence(s) occuring].

Here are X ways/steps to [achieve desirable outcome]:

[Actionable insight/step]

[Actionable insight/step]

[Actionable insight/step]

[Actionable insight/step]

[Key takeaway].",https://framerusercontent.com/images/yCalKk9mr0IZ17JTG8wV9PsyCAg.png,https://www.linkedin.com/posts/jesscook-contentmarketing_in-b2b-you-shouldnt-want-your-content-to-activity-7214270548309110784-QvIn?utm_source=share&utm_medium=member_desktop
Unsure how to structure your next LinkedIn post? Try this…,"Post, Text, Common Problem, Challenging Misconceptions, Common Mistakes, Specific Solution","Most [common activity/assets] I see are [negative descriptor].

[Target audience], you must keep this in mind: 

[Key insight].

The [activity/asset] is NOT for [incorrect assumption].

It's for [correct assumption].

These are the common mistakes I often see:

[Mistake]

[Mistake]

[Mistake]

Here’s how to [achieve goal]:

[Actionable insight/step]

[Actionable insight/step]

[Actionable insight/step]

[Actionable insight/step]

And always remember to [crucial step/action].

This way, you can [achieve desirable outcome] [easier/faster/cheaper].",https://framerusercontent.com/images/qe69j5CKLy0TsCG86DpROrxfg.png,https://www.linkedin.com/posts/kddorsey3_most-sales-follow-ups-i-see-are-painful-to-activity-7211699772670255105-ISbH?utm_source=share&utm_medium=member_desktop
This is one of the hardest hooks to nail (here’s why),"Post, Text, Unvoiced Problem, Exposing Issue","If your [organisation/department/team] isn't ready to [desired change or action], all the [common practice or resource] in the world won't matter.",https://framerusercontent.com/images/F7fvaHEIkMbYHwfjP0vxT6VRiU.png,https://www.linkedin.com/posts/erikahall_if-your-organization-isnt-prepared-to-learn-activity-7112820882389028864-Lryi?utm_source=share&utm_medium=member_desktop
"Is your account growing? If so, do this intermittently…","Post, Text, Image, Relatable Experience, Personal Intriduction, Transformation Story, Fostering Engagement","I began my journey in [field/industry] [time period] ago.

Hi, I’m [Your Name].

Originally from [Original Location], I now live in [Current Location].

My background includes [time period] in [industry or field] – specialising in [specific skills or areas].

I had no prior knowledge of [new skill or field] when I started.

But after [time period], things began to pick up:

- [Key achievement/benefit unlocked]
- [Key achievement/benefit unlocked]
- [Key achievement/benefit unlocked]

Now, I’m focused on [current goal or business focus].

Along the way, I offer [type of advice or service you provide].

[Additional interesting personal fact]

[A quirky or engaging question to engage reader]

[Call to action]

[Image that matches the post]",https://framerusercontent.com/images/TEBqIGs57gEgdfWcRLLeyupnw.png,https://www.linkedin.com/posts/taylin-john-simmonds_i-started-taking-linkedin-seriously-30-days-activity-7103372010369519616-kkx6?utm_source=share&utm_medium=member_desktop
How to put yourself into your reader’s shoes,"Post, Text, Image, Converting Users, Counterintuitive Strategy, Handling objections, Specific Strategy, ","The secret to [taking specific action] that [unlocks desirable outcome]: 

[Counterintuitive tip/strategy].

“[Common objection posed as a question]?”

[Yes or No].

Here’s why:

[List reasons that clearly alleviate the objection from above].

[Briefly explain your experience using counterintuitive tip/strategy, and the benefits you (or others) have derived].

“[Guiding question that helps ascertain whether counterintuitive tip/strategy is working]?”

[Key takeaway].

[Image that matches the post]",https://framerusercontent.com/images/CxwdsufzygpEUIFzNbFEkodLI4.png,https://www.linkedin.com/posts/filipa-canelas_the-secret-to-writing-content-that-converts-activity-7155185027868176385-A0rp?utm_source=share&utm_medium=member_desktop
How to offer an irresistible solution,"Post, Text, Image, Bold Opinion, Common Ineffective Practice, Specific Solution, ","If I had to describe [common industry/topical issue] in one word:

I’d say “[chosen word].”

Just look at [examples from industry/field], and you'll see:

- [Specific example from ineffective practice]
- [Specific example from ineffective practice]
- [Specific example from ineffective practice]

[Give your opinion/Brief assessment]

[Explain the implications of said practice and/or why it persists].

This is why [Partner’s Name/Group/Company] and I offer [a different approach]:

- [Key feature or approach 1]
- [Key feature or approach 2]
- [Key feature or approach 3]

We're cutting through the [original issue/chosen word] so you can [unlock desirable outcome].

[Image that matches the post]",https://framerusercontent.com/images/PtcKQ6uunBwOgobLa3YV1HKsDQQ.png,https://www.linkedin.com/posts/heyrobk_saas-b2bmarketing-messaging-activity-7126213147538919424-dHvs?utm_source=share&utm_medium=member_desktop
The nightmare behind a shiny facade (a lesson in storytelling),"Post, Text, Engaging Story, Impressive Character, Relatable Challenges, Revelation, Unique POV,  Positive Resolution","Ever wondered what lies behind the glittering façade of [industry/profession/role]? 

Let me take you behind the scenes.

[Short time ago], I spoke with [describe person and their impressive credentials]. 

From the outside, [brief description of their success and lifestyle]. 

But here's what you don't see:

[Share a vulnerable admission/predicament they’re in]. 

Despite [brief description of achievements], they're facing [key challenges]. 

Here’s what they said:

""[Direct quote from the conversation]""

This story isn't unique. 

It's the untold reality many face in [industry/profession], where [brief description of common misconceptions].

I've [walked this path myself/seen it unfold like this before]. 

Sometimes, [positive outcomes]. 

But often, [common negative outcomes].

Then one day, you realise [reflective thought or decision].

For those feeling the same, looking for [what the reader might be seeking], I’ve created something for you. Check out this [resource/tool/link]: [Link]

**Note: Avoid revealing the identity (or any sensitive details) of any individuals without their consent.",https://framerusercontent.com/images/XQnn0ycpoLvUrNVPl8dbwrbHqo.png,https://www.linkedin.com/posts/gisenberg_i-had-a-chat-last-night-with-a-billion-dollar-activity-7216802342002683905-FWtq?utm_source=share&utm_medium=member_desktop
The secret to writing content that hits the dopamine button,"Post, Text, Provocative Statement, Contrasting Ideas, Specific Examples, Personal View","“[Provocative statement that challenges a common belief].”

[Truth that contradicts the common belief].

[Briefly elaborate on core idea].

- [Example of action related to truth 1]
- [Example of action related to truth 2]
- [Example of action related to truth 3]
- [Example of action related to truth 4]
- [Example of action related to truth 5]

[Personal observation or insight – eg. about people who have embraced the truth and succeeded].

[Key takeaway].

[Call to action or question for audience].",https://framerusercontent.com/images/jdPNcrauPOUzhTy5UzfDeMPEm0.png,https://www.linkedin.com/posts/sahilbloom_youve-been-lied-to-happiness-is-not-a-activity-7216765630102810624-K6q2?utm_source=share&utm_medium=member_desktop
How to add emphasis with anaphora,"Post, Text, Expert Quote, Relatable Insights, Challenging Common Assumptions, Personal Refection, Use Of Repetition","[Expert or Influential Person] said, “[Relevant Quote].”

In other words: [Paraphrase the quote for clarity].

Before you [common negative response/action], [alternative positive action].

Before you [common negative response/action], [alternative positive action].

Before you [common negative response/action], [alternative positive action].

Before you [common negative response/action], [alternative positive action].

When I [feel/encounter negative emotion or situation], I [ask myself: “Question to encourage positive action?” OR conduct key positive action].",https://framerusercontent.com/images/gS5lGQrIWH6jjvkREsnWeQiIWs0.png,https://www.linkedin.com/posts/weskao_the-psychotherapist-eric-maisel-said-we-activity-7222234204162387968-aB2m?utm_source=share&utm_medium=member_desktop
The power of emotionally-charged phrases,"Post, Text, Image, Relatable Feedback, Buidling Rapport, Harsh Truth, Mindset Shift, Supportive Takeaway","“[Common negative feedback/phrase].”

If you’ve been [related activity], you will have heard this.

It [causes specific negative impact/emotion].

It [causes specific negative impact/emotion] when [specific situation].

It [causes specific negative impact/emotion] more when [more detailed situation].

[Relevant harsh truth].

But it [causes specific negative impact/emotion] less when you realise:

- [Reassuring point/new perspective 1]

- [Reassuring point/new perspective 2]

- [Reassuring point/new perspective 3]

[Personal anecdote related to narrative].

If you’ve faced [specific negative impact/emotion] lately, please know [reassuring statement].

[Briefly expand on reassuring statement from above].

Keep [taking positive action 1].

Keep [taking positive action 2].

Keep [taking positive action 3].

[Powerful concluding statement].

[Image hook that reinforces core message]",https://framerusercontent.com/images/Nen3M2eYsCK2CrKJLXDYBlClriA.png,https://www.linkedin.com/posts/trevordesign_weve-decided-to-move-forward-with-other-activity-7113552482252812289-IUT5?utm_source=share&utm_medium=member_desktop
How to switch the reader from passive skimmer to active thinker,"Post, Text, Image, Common Problem, Relatable Solution, Solution In Context , Expert Quote","If [target audience] want to [achieve desirable outcome], then they need to do this:

They need to [main action or principle].

How?

By [Distill main action or principle into a short concept].

For example:

[Give a hypothetical scenario that puts the prescriptive advice from above into context].

[Question to encourage reader to internalise core message]?

[Image hook or relevant quote from an authority figure]",https://framerusercontent.com/images/8UMvEOWYREF0gKwy8iJJyfiTDfo.png,https://www.linkedin.com/posts/alexcattoni_if-brands-want-to-stand-out-in-todays-market-activity-7223017233231290368-NEgK?utm_source=share&utm_medium=member_desktop
Nobody cares about your content? Try this…,"Post, Text, Image, X Useful Resources, Breakdown Of Resources, Actionable Insights","X [valuable resources] to [unlock specific desirable outcome]:

1. [Resource 1] by [Creator/Author/Authority]

[Brief description of resource, why it’s recommended, and an interesting insight].

2. [Resource 2] by [Creator/Author/Authority]

[Brief description of resource, why it’s recommended, and an interesting insight].

3. [Resource 3] by [Creator/Author/Authority]

[Brief description of resource, why it’s recommended, and an interesting insight].

4. [Resource 4] by [Creator/Author/Authority]

[Brief description of resource, why it’s recommended, and an interesting insight].

5. [Resource 5] by [Creator/Author/Authority]

[Brief description of resource, why it’s recommended, and an interesting insight].

[Tease upcoming content or call to action to engage readers further].",https://framerusercontent.com/images/0hBoM7aZAM5jDsRJlhhru5MBNTI.png,https://www.linkedin.com/posts/nathan-baugh_5-books-to-become-a-better-storyteller-activity-7131627111655604224-x0QH?utm_source=share&utm_medium=member_desktop
Tapping into the human desire to belong,"Post, Text, Image, Challenging Common Assumption, Desirable Outcome, Specific Audience, Key Benefits, Belief Shift  ","Quick reminder: [Skill/Habit/Routine] isn't JUST for [expected group].

[Aspirational group] all know that [skill/habit/routine] is [relevant descriptor]. 

They use it [list/briefly explain key benefit(s)].

It takes [relevant investment] to [learn/implement/benefit from] [skill/habit/routine].

But if you [understand/follow these steps]:

[Fundamental/Step 1]

[Fundamental/Step 2]

[Fundamental/Step 3]

Then you can [unlock desirable outcome(s)].

[Personal sign-off].

[Call to action].

[Include relevant image/image hook]",https://framerusercontent.com/images/mzSAZP6eS3E6oUJ4h3ClnMwsf0.png,https://www.linkedin.com/posts/mattjbarker1_a-reminder-that-copywriting-isnt-just-for-activity-7213873088608808964-m_QE?utm_source=share&utm_medium=member_desktop
No one can argue with your personal experiences,"Post, Text, Image, Buidling Credibility, Key Insight, Common Scenario, Relatable Struggles, Key Realisation, Harsh Truth, Decisive Action, Specific Methodology ","If you’re a [target audience], your main task is to [core responsibility].

It took me [significant time period] to learn this.

When I first started [relevant activity], I was:

[Task 1]

[Task 2] 

[Task 3] 

I worked X hours a day.

But [undesirable outcome].

It was [emotional response].

[Briefly expand on the problem].

And then I realised…

[Key realisation].

[Rhetorical question that relates to problem]?

So, I [changed my approach or took decisive action]

[Briefly explain new approach/action taken].

And that’s how I [unlocked desirable outcome].

Because the truth is:

[Harsh truth].

[Key takeaway].

[Question to foster engagement and/or Call to action].

[Include relevant image/image hook]",https://framerusercontent.com/images/wEtPG9QF1DBZYTd1k7Ni7PsY.png,https://www.linkedin.com/posts/noemikis_if-youre-a-founder-your-main-job-is-to-activity-7224753314079424512-EpkU?utm_source=share&utm_medium=member_desktop
"One of the greatest gifts you can give the reader
","Post, Text, Image, Urgent Common Problem, Limiting Beliefs, Big Picture, Social Proof, Motivational Takeaway ","This is a terrible mindset for [target audience]:

(It held me back for [time period])

[Briefly explain/list limiting belief(s)].

Because here’s the thing…

In [current year], [motivating statement].

Zoom out:

[Include one or more supporting facts or statistics].

[Inspiring takeaway].

[Include relevant image/image hook]",https://framerusercontent.com/images/jOPhCBSWdqymfBgaIwfyVJtjitg.png,https://www.linkedin.com/posts/jonbrosio_the-absolute-worst-mindset-you-can-have-as-activity-7157726878005366784-MWxq?utm_source=share&utm_medium=member_desktop
How to imply you’re an expert,"Post, Text, Story, Main Character, Turning Point, Popular Strategy, Story Twist, Inspirational Takeaway","I remember a [person/scenario] who/that used to [supportive/beneficial action].

[Person/Scenario] used to [key action].

But then [things stopped or resulted in a negative outcome].

It's because [prior action/event that initiated this change].

[Briefly expand on what happened to conclude the story].

See a lot of [target audience] subscribe to the [common strategy/action]. 

But here’s the thing…

[Give your unique perspective/challenge how this strategy/action is implemented].

[Statement that ties your perspective back to the initial story].

[Key takeaway].

",https://framerusercontent.com/images/kjzDgvwbvC6bzeNWKVuPdX8z7Xc.png,https://www.linkedin.com/posts/ashrathod_i-remember-a-guy-who-used-to-support-my-content-activity-7159085535502766081-Riq8?utm_source=share&utm_medium=member_desktop
How to write posts that sound like music,"Post, Text, Image, Hot Topic, Pain Point, Creators POV, Relatable Struggles, Pivotal Event, New Approach, Authoratative Quote, Conclusive Statement, Useful Resource ","Why [specific tool/strategy] has/was NOT [used to perform key action]:

Under pressure to [achieve challenging goal]? 

You're not alone.

Everyone’s talking about [alternative solution]:

But I resist. 

[Briefly give your unique perspective].

[List reasons why you choose to resist].

[Tell a brief anecdote/story that explains how you came to adopt your unique perspective].

[List key actions that help you maintain this mindset].

As [Authority Figure] said:

“[Relevant quote].”

[Key takeaway].

[Question to foster engagement and/or Call to action].

[Include relevant image/image hook]",https://framerusercontent.com/images/8fZrI5eLc5wpfjrKOtw1VzyRg.png,https://www.linkedin.com/posts/hennekeduistermaat_why-ai-has-not-written-this-post-activity-7214992782434672642-j_WR?utm_source=share&utm_medium=member_desktop
You’ve been lied to (here’s the truth…),"Post, Text, X Falshoods, Idealism V Reality, Fostering Engagement ","X [industry/field] lies:

“[Common falsehood people/companies say]”
↳ [The blunt reality – consider using sarcasm to heighten the discrepancy]

“[Common falsehood people/companies say]”
↳ [The blunt reality – consider using sarcasm to heighten the discrepancy]

“[Common falsehood people/companies say]”
↳ [The blunt reality – consider using sarcasm to heighten the discrepancy]

“[Common falsehood people/companies say]”
↳ [The blunt reality – consider using sarcasm to heighten the discrepancy]

“[Common falsehood people/companies say]”
↳ [The blunt reality – consider using sarcasm to heighten the discrepancy]

[Impactful closing statement or question to foster engagement].",https://framerusercontent.com/images/LHUDEz9QBokuh4PmCVRsk6PEYWE.png,https://www.linkedin.com/posts/profit-led-growth_10-startup-lies-forbes-30-under-30-activity-7227604648373690368-_eFy?utm_source=share&utm_medium=member_desktop
How to dispel false beliefs (that stop people from buying),"Post, Text, Common Misconception, Challenging False Beliefs","What [specific group] say:

“[Common misconception framed as a quote].”

What’s true:

- [Fact, stat, or benefit that supports the contrary].
- [Fact, stat, or benefit that supports the contrary].
- [Fact, stat, or benefit that supports the contrary].
- [Fact, stat, or benefit that supports the contrary].

[Bold claim that reinforces core message].

[Empowering takeaway].",https://framerusercontent.com/images/UnMtkfJpx7dKBGPSNuchH88JxQ.png,https://www.linkedin.com/posts/dina-town-authority-marketing_what-you-hear-high-ticket-clients-dont-activity-7221136931315724288-2-Q0?utm_source=share&utm_medium=member_desktop
Stoke the fire of your reader’s imagination,"Post, Text, Image, Borrowing Credibilty, Hypothetical Scenario, Successful Outcome, Insightful Takeaway","The greatest [profession] I’ve ever seen is [eminent individual].

[Brief anecdote that involves you witnessing said individual conducting relevant activity].

And it got me thinking.

What if [eminent individual] was [conducting relevant activity in a hypothetical scenario]?

Here’s how I think it would play out:

[Describe hypothetical scenario from start to finish – consider including dialogue if appropriate]

[Final outcome achieved].

The lesson?

[Summarise key takeaway(s)].

[Call to action or question to foster engagement].

[Image that matches the post]",https://framerusercontent.com/images/Fx8YsKyXPCb6T06scOVKnhP3okE.png,https://www.linkedin.com/posts/josh-braun_the-greatest-salesperson-ive-ever-seen-is-activity-7062041350325563393-KTaN?utm_source=share&utm_medium=member_desktop
The key to casting a wide net (for maximum reach),"Post, Text, Image, Business Growth, Transformation, Inspirational Takeaway, Call To Action","[Early struggle or humble beginning].
[Related later success or milestone].

[Early struggle or humble beginning].
[Related later success or milestone].

[Early struggle or humble beginning].
[Related later success or milestone].

[Motivational takeaway].

[Call to action or question to foster engagement].

[Relatable text image to act as a ‘billboard’ for your post]",https://framerusercontent.com/images/jVGhNY6CxmFdZsPtsj409MZjzo.png,https://www.linkedin.com/posts/charlesmiller-pbb_my-1st-client-paid-me-40-my-last-client-activity-7234890496563695616-ORy4?utm_source=share&utm_medium=member_desktop
